what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1318180169454
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318180197918
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318180204509
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1318180206657
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318180237293
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318180240674
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318180243718
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318180257464
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1318180262126
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1318180270591
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318180273393
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318180273655
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318180279029
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318180281973
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1318180307379
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1318180344182
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1318180364321
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1318180365533
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1318180366398
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1318180369487
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1318180372108
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1318180374163
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1318180376174
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1318180378317
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1318180380723
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1318180395873
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1318180397072
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1318180400181
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1318180408562
